pagename,average word length,first revision,hidden users,length,page views,unique ip users,unique registered users,unique users,words,Pagerank pro 0.8,Pagerank pro 0.85,Pagerank pro 0.9,Pagerank links 0.8,Pagerank links 0.85,Pagerank links 0.9,firstRevisions,islist,lastRevisions,nbBacklinks,nbCategories,nbLinks,nbcontributors,nbcontributorsBot,nbcontributorsIP,nbcontributorsMembers,nbrevisions,nbrevisionsBot,nbrevisionsIP,nbrevisionsMembers,ns,pageid,quality
Reuleaux triangle,5.59387755102,2004-04-06T17:52:51Z,0,9693,573749,76,115,191,1470,3.63866169937,3.647335805,3.65392095409,1.0219856631,0.848719268106,0.67128741648,2004-04-06T17:52:51Z,0.0,2014-07-31T11:21:51Z,77,8,60,187.0,19.0,76.0,92.0,317.0,31.0,101.0,185.0,0,580252,0.0
Rhombus,5.94071762871,2003-02-16T07:10:05Z,0,8898,4589404,519,340,859,1282,5.90758724138,6.12013041973,6.34021451697,5.2875392139,5.4921079427,5.70200989023,2003-02-16T07:10:05Z,0.0,2014-08-20T03:11:34Z,592,5,84,838.0,47.0,506.0,285.0,1482.0,129.0,736.0,617.0,0,183884,3.0
Riemannian geometry,6.88932364449,2003-03-12T14:10:12Z,0,14114,559526,60,104,164,1789,3.44835408032,3.44812101685,3.44614195637,3.66617343388,3.73037182726,3.79102677107,2003-03-12T14:10:12Z,0.0,2014-05-05T12:30:50Z,477,1,284,160.0,15.0,60.0,85.0,291.0,19.0,83.0,189.0,0,195243,4.0
Riemann sphere,5.39042207792,2003-02-16T02:31:43Z,0,15746,341392,38,91,129,2464,3.37236654013,3.36404703557,3.35354707204,4.08070068806,4.14298567921,4.19801333919,2003-02-16T02:31:43Z,0.0,2014-05-05T11:37:12Z,321,6,105,127.0,14.0,38.0,75.0,224.0,21.0,47.0,156.0,0,30876799,4.0
Right triangle,5.48114901257,2002-02-17T02:40:38Z,0,10830,1168723,82,100,182,1671,3.17629147321,3.16928117536,3.16241569817,3.35665303282,3.44706070609,3.55474115349,2002-02-17T02:40:38Z,0.0,2014-08-19T16:35:36Z,272,3,48,165.0,21.0,76.0,68.0,306.0,29.0,99.0,178.0,0,39420,3.0
Robot control,6.62621359223,2003-01-28T23:05:37Z,0,1571,81408,17,17,34,206,0.969441607594,0.807115575299,0.642574275844,0.660065968987,0.49504940398,0.330033071805,2003-01-28T23:05:37Z,0.0,2011-11-02T02:56:36Z,36,5,80,34.0,4.0,17.0,13.0,43.0,4.0,23.0,16.0,0,175885,1.0
Roman surface,4.70622568093,2002-06-29T16:11:46Z,0,11732,100171,15,40,55,2056,2.31514568441,2.23987689242,2.16243253089,0.760963186622,0.586376292631,0.409862666856,2002-06-29T16:11:46Z,0.0,2014-08-21T09:14:45Z,41,1,32,54.0,7.0,15.0,32.0,116.0,8.0,16.0,92.0,0,59979,0.0
Root system,4.95084590764,2003-07-25T12:36:00Z,0,26029,275053,70,101,171,4374,3.43767134473,3.43152997084,3.42289265245,1.10519875307,0.9258025093,0.73752226308,2003-07-25T12:36:00Z,0.0,2014-08-16T09:09:18Z,251,8,156,167.0,14.0,67.0,86.0,404.0,18.0,104.0,282.0,0,277087,0.0
Rotation (mathematics),5.69343065693,2003-12-21T08:15:38Z,0,18340,916715,97,112,209,2740,3.49702266976,3.50497523323,3.51201859303,4.84846858308,4.91657108068,4.97230747715,2003-12-21T08:15:38Z,0.0,2014-08-29T01:20:12Z,209,11,168,201.0,15.0,93.0,93.0,428.0,25.0,134.0,269.0,0,410009,3.0
Ruppeiner geometry,5.71935483871,2007-02-01T23:53:01Z,0,4166,13808,5,18,23,620,1.46636471618,1.34274328593,1.21780484915,1.44749553874,1.17290113121,0.857669685502,2007-02-01T23:53:01Z,0.0,2012-08-10T13:15:16Z,21,4,29,23.0,5.0,5.0,13.0,48.0,6.0,18.0,24.0,0,9258361,2.0
Sangaku,6.76448598131,2004-10-10T19:32:35Z,0,4154,112850,25,60,85,535,2.03113001771,1.94223993458,1.85190071352,0.853726814967,0.665977131575,0.472667859867,2004-10-10T19:32:35Z,0.0,2013-12-30T03:46:45Z,48,8,35,85.0,8.0,25.0,52.0,132.0,8.0,41.0,83.0,0,1055365,2.0
Schläfli symbol,7.09523809524,2004-02-26T03:49:47Z,0,12920,244306,20,58,78,1596,3.02286469378,2.99493130296,2.96522211283,3.94897768274,4.03851689771,4.12864750251,2004-02-26T03:49:47Z,0.0,2014-08-07T20:02:46Z,856,2,115,76.0,12.0,20.0,44.0,386.0,14.0,28.0,344.0,0,489394,3.0
Semi-major axis,5.70975813178,2001-11-04T20:28:09Z,0,8045,1084161,46,100,146,1199,2.92115402408,2.90092150681,2.88108200766,1.99185847305,1.91536894999,1.83915160596,2001-11-04T20:28:09Z,0.0,2014-08-06T17:19:18Z,3200,2,113,142.0,25.0,45.0,72.0,236.0,35.0,52.0,149.0,0,23409699,2.0
Shape,5.40246768508,2003-01-15T03:34:05Z,0,10897,1638914,247,247,494,1702,4.8136417754,4.93529532105,5.06107090041,3.80570371635,3.86000378057,3.90626303852,2003-01-15T03:34:05Z,0.0,2014-08-28T03:46:05Z,527,4,75,486.0,43.0,244.0,199.0,873.0,100.0,340.0,433.0,0,169191,3.0
Shear mapping,5.01141078838,2004-07-09T07:31:37Z,0,5795,203844,16,35,51,964,2.01809243299,1.92601257004,1.83209520765,1.00948661566,0.882550259121,0.757533241995,2004-07-09T07:31:37Z,0.0,2013-06-17T11:09:39Z,85,4,45,49.0,5.0,15.0,29.0,89.0,5.0,22.0,62.0,0,799405,2.0
Similarity (geometry),5.59704339533,2002-02-25T15:43:11Z,0,13834,623660,102,157,259,2097,4.65604057536,4.74270898849,4.82940487564,7.9524051398,8.29986203462,8.65419860929,2002-02-25T15:43:11Z,0.0,2014-08-03T05:03:45Z,240,2,85,256.0,29.0,101.0,126.0,462.0,43.0,129.0,290.0,0,39377,3.0
Soddy's hexlet,4.89576883385,2006-10-16T01:12:08Z,0,11426,30704,4,26,30,1938,1.94853753783,1.8507973291,1.75101752393,1.23712921049,1.00489659235,0.756871653721,2006-10-16T01:12:08Z,0.0,2014-06-15T07:39:09Z,29,2,30,30.0,5.0,4.0,21.0,85.0,5.0,4.0,76.0,0,7463064,2.0
Solid geometry,6.32423208191,2004-03-06T08:11:26Z,0,2146,274880,39,73,112,293,3.30312480219,3.29825375229,3.29244299792,2.0944729913,2.01706914231,1.93717260845,2004-03-06T08:11:26Z,0.0,2014-05-27T04:04:16Z,148,3,59,108.0,21.0,39.0,48.0,132.0,29.0,42.0,61.0,0,507960,2.0
Space group,5.96770576362,2004-02-10T18:09:45Z,0,31069,719571,69,88,157,4459,3.35999694653,3.35285416804,3.34382615983,3.53492167778,3.5620033741,3.57820978388,2004-02-10T18:09:45Z,0.0,2014-08-16T14:55:11Z,1193,5,83,153.0,18.0,68.0,67.0,458.0,24.0,104.0,330.0,0,463721,2.0
Sphere,5.31082423039,2002-02-19T10:36:18Z,0,19065,11008326,479,444,923,3021,6.64091715589,6.90340436995,7.17371143401,12.3285353184,12.6587999985,12.9295568913,2001-08-16T22:41:54Z,0.0,2014-07-21T17:51:47Z,1718,12,169,907.0,33.0,472.0,402.0,1564.0,89.0,675.0,800.0,0,27859,4.0
Sphere packing,5.94991652755,2003-11-16T14:22:39Z,0,16652,411914,53,104,157,2396,3.6715164315,3.67679982446,3.67908948101,2.14147008955,2.05110805109,1.95207353681,2003-11-16T14:22:39Z,0.0,2014-08-13T13:41:31Z,168,4,90,147.0,15.0,52.0,80.0,288.0,22.0,72.0,194.0,0,368621,4.0
Spherical geometry,5.57093899931,2003-01-24T22:35:08Z,0,9587,436816,57,120,177,1459,3.75874130987,3.78437759355,3.80933587439,4.01677750051,4.1495859623,4.29378543049,2003-01-24T22:35:08Z,0.0,2014-06-13T04:26:25Z,163,5,46,173.0,16.0,55.0,102.0,244.0,20.0,89.0,135.0,0,174026,2.0
Spherical trigonometry,5.36942675159,2004-05-12T18:48:31Z,0,18000,686025,80,144,224,2826,3.68853798136,3.70764336549,3.72574641369,3.15823708661,3.17981909029,3.20120668039,2004-05-12T18:48:31Z,0.0,2014-08-14T04:38:01Z,211,1,36,217.0,18.0,76.0,123.0,386.0,29.0,106.0,251.0,0,650405,3.0
Sphericon,5.43115942029,2004-04-03T01:25:23Z,0,1775,45797,8,30,38,276,1.62870727945,1.51259335689,1.39475334436,0.660065968987,0.49504940398,0.330033071805,2004-04-03T01:25:23Z,0.0,2014-06-13T23:41:56Z,20,1,17,38.0,6.0,8.0,24.0,69.0,7.0,15.0,47.0,0,572813,2.0
Spheroid,5.26171243942,2002-09-08T18:00:05Z,0,3876,551217,61,99,160,619,3.28596052714,3.28697310761,3.28806485049,1.67538574897,1.55077443924,1.42062339,2002-09-08T18:00:05Z,0.0,2014-08-23T01:29:04Z,555,4,32,158.0,27.0,61.0,70.0,274.0,31.0,94.0,149.0,0,82365,2.0
Spline (mathematics),5.85007173601,2004-02-06T20:06:45Z,0,9549,1654243,141,161,302,1394,4.07996494323,4.12404723465,4.16717818007,1.49535993114,1.25516206026,0.992551678792,2004-02-06T20:06:45Z,0.0,2014-08-19T05:06:15Z,190,3,54,291.0,21.0,138.0,132.0,648.0,31.0,323.0,294.0,0,457680,2.0
Square,6.0049382716,2004-05-17T01:15:38Z,5,11348,1339464,407,399,806,1620,5.97969582304,6.20237924159,6.4335744828,10.0989788771,10.6649231166,11.2436637282,2004-05-17T01:15:38Z,0.0,2014-08-31T15:40:29Z,640,5,210,775.0,57.0,390.0,328.0,1413.0,152.0,603.0,658.0,0,659939,3.0
Squaring the circle,5.80829523187,2003-03-25T16:18:39Z,0,20847,1047246,151,235,386,3062,4.60031535476,4.68539725989,4.77078091353,1.98629731312,1.95812480524,1.93902431056,2003-03-25T16:18:39Z,0.0,2014-08-20T21:53:15Z,356,6,224,377.0,27.0,147.0,203.0,730.0,39.0,204.0,487.0,0,201359,3.0
Star polygon,6.21978851964,2003-09-07T04:20:48Z,0,9559,474378,48,107,155,1324,3.82476160303,3.84605722502,3.86541732587,3.49545036443,3.61810973845,3.76267451793,2003-09-07T04:20:48Z,0.0,2014-08-22T15:00:41Z,259,6,108,146.0,21.0,45.0,80.0,323.0,24.0,59.0,240.0,0,313303,3.0
Steiner chain,5.38018691589,2008-08-14T21:50:41Z,0,17067,39913,4,25,29,2675,2.14119139127,2.05643614754,1.96976074949,0.79391739564,0.61096571153,0.423315097578,2008-08-14T21:50:41Z,0.0,2014-08-09T05:04:43Z,38,3,36,29.0,7.0,4.0,18.0,142.0,7.0,4.0,131.0,0,18866777,4.0
Stereographic projection,5.79205921938,2002-11-03T02:18:02Z,0,30279,913061,43,139,182,4458,3.4956606105,3.50010464899,3.50313470699,3.4211569,3.385478165,3.33540118299,2002-11-03T02:18:02Z,0.0,2014-06-13T12:55:58Z,420,6,227,171.0,18.0,41.0,112.0,413.0,25.0,52.0,336.0,0,143431,4.0
Strähle construction,5.52972175379,2003-09-01T21:46:19Z,0,30977,12531,1,24,25,4744,1.58972013742,1.47379655391,1.35650648735,0.660065968987,0.49504940398,0.330033071805,2003-09-01T21:46:19Z,0.0,2014-05-14T17:24:19Z,26,3,33,23.0,5.0,1.0,17.0,94.0,5.0,1.0,88.0,0,309536,0.0
Straightedge,6.34280639432,2002-11-16T06:02:39Z,0,4134,289949,29,59,88,563,1.68486731127,1.57639861573,1.46695482545,1.44809298217,1.33284297772,1.21934735216,2002-11-16T06:02:39Z,0.0,2014-03-18T11:21:35Z,258,8,151,86.0,10.0,28.0,48.0,112.0,10.0,33.0,69.0,0,147854,2.0
Symmedian,5.82651072125,2003-09-18T07:34:12Z,0,3502,26945,9,39,48,513,2.78904987499,2.74389307015,2.69663124345,2.22551007755,2.20779213123,2.20205681399,2003-09-18T07:34:12Z,0.0,2013-06-23T14:00:16Z,32,1,28,45.0,10.0,9.0,26.0,59.0,13.0,13.0,33.0,0,320997,2.0
Symmetry,6.29388630676,2002-05-27T12:23:55Z,0,20401,3504054,375,390,765,2797,6.84115849435,7.09665566683,7.35685834661,8.82987305522,9.2075644061,9.57061816007,2002-05-27T12:23:55Z,0.0,2014-08-19T02:34:56Z,1157,3,219,744.0,45.0,362.0,337.0,1638.0,96.0,492.0,1050.0,0,53741,3.0
Symmetry group,5.42864529473,2001-09-20T04:30:17Z,0,12433,422360,30,80,110,1934,3.33784730174,3.33593948744,3.33312852308,6.44849147648,6.60977885127,6.74688816071,2001-09-20T04:30:17Z,0.0,2014-06-06T20:21:37Z,536,3,80,110.0,15.0,30.0,65.0,274.0,18.0,47.0,209.0,0,28186,3.0
Symplectic geometry,6.42566371681,2003-08-11T21:56:39Z,0,8391,171053,19,60,79,1130,3.20289796218,3.18412180059,3.1631749589,2.4939882569,2.48397490941,2.47659999877,2003-08-11T21:56:39Z,0.0,2014-08-09T06:12:10Z,182,1,148,75.0,11.0,18.0,46.0,116.0,16.0,31.0,69.0,0,294298,3.0
Synthetic geometry,5.94259012016,2003-07-14T16:38:28Z,0,10400,91255,11,49,60,1498,2.73873400874,2.68796249293,2.63473205268,3.82334901951,3.9338269271,4.05552703887,2003-07-14T16:38:28Z,0.0,2014-07-10T12:24:41Z,91,1,88,54.0,10.0,10.0,34.0,113.0,10.0,13.0,90.0,0,267484,0.0
Systolic geometry,5.43014174139,2005-08-26T15:57:28Z,0,22229,57002,12,41,53,3457,2.51113506965,2.44337320328,2.37277103588,1.00897217635,0.85954729002,0.709597428795,2005-08-26T15:57:28Z,0.0,2014-05-28T18:28:54Z,92,2,91,52.0,4.0,11.0,37.0,361.0,5.0,37.0,319.0,0,2545455,4.0
Tangential quadrilateral,5.51787379546,2007-01-28T23:23:32Z,0,20968,96834,5,35,40,3217,2.46522505768,2.40003014915,2.33287224546,2.39090807736,2.3874072358,2.39629880525,2007-01-28T23:23:32Z,0.0,2014-05-24T13:51:26Z,53,1,60,38.0,12.0,5.0,21.0,199.0,16.0,7.0,176.0,0,9176412,4.0
Taxicab geometry,5.68639053254,2003-12-19T21:40:59Z,0,5650,639577,74,123,197,845,3.4132192377,3.41052445583,3.40610789135,1.9522884395,1.86635460705,1.77859910764,2003-12-19T21:40:59Z,0.0,2014-08-28T04:45:50Z,148,6,59,196.0,20.0,74.0,102.0,328.0,25.0,104.0,199.0,0,408354,4.0
Tessellation,5.98275,2003-09-19T09:24:02Z,0,27931,3864508,540,416,956,4000,6.64104660973,6.89149368554,7.14792916551,5.57073857635,5.69108873606,5.7926280424,2003-09-19T09:24:02Z,0.0,2014-08-23T22:53:49Z,930,5,322,937.0,41.0,530.0,366.0,1994.0,136.0,823.0,1035.0,0,321671,3.0
Tetrahedron,6.26019824628,2002-02-25T15:43:11Z,0,38087,3660587,253,322,575,5246,6.14670524374,6.3487906009,6.55399030074,6.91614439711,7.04575236887,7.15218903497,2001-09-20T03:01:10Z,0.0,2014-08-28T16:24:18Z,1229,8,409,561.0,38.0,249.0,274.0,1300.0,79.0,375.0,846.0,0,30606,4.0
Thales' theorem,4.97222222222,2003-07-14T16:24:12Z,0,9460,411038,61,117,178,1584,3.50996293128,3.51559766568,3.51988268085,2.51015787944,2.50584748574,2.50817812048,2003-07-14T16:24:12Z,0.0,2014-08-25T23:31:47Z,83,4,49,167.0,15.0,56.0,96.0,301.0,23.0,78.0,200.0,0,267471,3.0
The Method of Mechanical Theorems,4.88775925173,2003-07-05T02:09:25Z,0,14478,72912,28,56,84,2459,2.47275619768,2.40976829082,2.34501156956,0.818173168227,0.645509921014,0.469059217721,2003-07-05T02:09:25Z,0.0,2014-08-12T06:21:26Z,81,5,63,82.0,9.0,27.0,46.0,190.0,12.0,49.0,129.0,0,261272,2.0
Topology,6.01497919556,2002-02-09T22:00:10Z,0,25289,4143205,344,420,764,3605,6.71356217936,6.9667454809,7.2255032137,6.23588450253,6.34271837771,6.41867006198,2001-12-04T00:13:53Z,0.0,2014-06-25T04:56:05Z,2218,9,218,750.0,41.0,339.0,370.0,1358.0,77.0,444.0,837.0,0,29954,4.0
Toric variety,5.31025416301,2004-06-19T16:36:08Z,0,7200,45215,9,25,34,1141,1.62699318025,1.51127239224,1.39385438524,1.4694846468,1.31759885699,1.15621683653,2004-06-19T16:36:08Z,,2014-05-13T15:44:21Z,43,1,30,33.0,3.0,9.0,21.0,61.0,3.0,12.0,46.0,0,737087,
Torus,5.12927872861,2002-08-22T13:14:21Z,0,20055,2369948,153,234,387,3272,5.05129061639,5.16525562853,5.27940457687,3.64637724124,3.49240121432,3.3073311206,2002-08-22T13:14:21Z,0.0,2014-08-22T23:40:12Z,820,4,164,377.0,28.0,150.0,199.0,668.0,44.0,198.0,426.0,0,74800,4.0
Transformation geometry,6.01111111111,2004-02-17T19:36:43Z,0,7572,102303,15,26,41,1080,1.78740941919,1.68148067314,1.57384644262,1.23197981156,1.11216516234,0.991584500298,2004-02-17T19:36:43Z,0.0,2014-08-30T01:08:31Z,53,3,54,37.0,5.0,13.0,19.0,80.0,5.0,19.0,56.0,0,473774,2.0
Translational symmetry,5.20912547529,2004-06-03T12:53:00Z,0,6532,222068,37,46,83,1052,2.50199227594,2.44272476994,2.3819541093,4.10550041124,4.10726619884,4.09063696861,2004-06-03T12:53:00Z,0.0,2014-07-07T23:28:50Z,117,3,36,82.0,9.0,37.0,36.0,120.0,11.0,50.0,59.0,0,701100,2.0
Translation (geometry),5.48539638387,2003-04-01T22:28:06Z,0,4663,563200,55,111,166,719,4.25462052226,4.31178091094,4.36827959493,8.05256329477,8.36572982371,8.66216421127,2003-04-01T22:28:06Z,0.0,2014-08-30T01:06:08Z,303,3,38,161.0,26.0,52.0,83.0,232.0,37.0,70.0,125.0,0,204682,2.0
Trapezoid,5.52707006369,2003-03-27T00:51:15Z,0,12297,4366195,529,374,903,1884,6.4837243408,6.73869997263,7.00213899836,4.01502428576,4.1574947536,4.31339116767,2003-03-27T00:51:15Z,0.0,2014-08-26T06:39:28Z,643,4,64,889.0,46.0,521.0,322.0,1617.0,111.0,746.0,760.0,0,201826,3.0
Triangle,5.2583283936,2002-02-25T15:43:11Z,0,52789,8172817,1394,916,2310,8435,9.37321409583,9.91478003561,10.4823568836,15.8636868,16.6977029294,17.5431147218,2001-09-15T00:05:13Z,0.0,2014-08-30T15:39:45Z,2080,8,236,2303.0,61.0,1394.0,848.0,4529.0,275.0,2032.0,2222.0,0,30654,4.0
Triangle inequality,5.21271763815,2002-05-28T15:38:26Z,0,16414,1052845,88,111,199,2642,3.70703241788,3.72785958461,3.74782574363,1.96065334603,1.86839804519,1.77744589746,2002-05-28T15:38:26Z,0.0,2014-08-24T04:16:56Z,239,5,58,191.0,22.0,85.0,84.0,372.0,28.0,117.0,227.0,0,53941,4.0
Trigonometry,6.07093986316,2002-02-25T15:43:11Z,1,19636,7812047,1372,853,2225,2777,8.28300788999,8.73775035143,9.21575445682,4.98402910307,5.17834629864,5.37521066144,2001-09-08T00:12:15Z,0.0,2014-08-09T03:43:01Z,1700,4,211,2165.0,57.0,1337.0,771.0,4216.0,189.0,2129.0,1898.0,0,18717261,3.0
Tropical geometry,7.05305305305,2004-07-30T10:06:08Z,0,8045,92268,19,64,83,999,2.40768236108,2.34156521037,2.27379449643,0.759500835557,0.602417858317,0.444999459432,2004-07-30T10:06:08Z,0.0,2014-08-23T23:58:21Z,45,4,41,78.0,9.0,18.0,51.0,131.0,11.0,29.0,91.0,0,867041,2.0
Uniform polyhedron,7.76331157678,2005-08-25T17:23:21Z,0,25510,141663,23,87,110,2911,3.15004261211,3.12831765041,3.10448650271,3.63664398901,3.63722792827,3.62427928485,2005-08-25T17:23:21Z,0.0,2014-04-27T06:05:54Z,681,3,218,108.0,18.0,23.0,67.0,751.0,24.0,42.0,685.0,0,2537223,3.0
Uniform tessellation,7.50949367089,2003-12-14T08:25:25Z,0,5378,47755,9,26,35,632,2.13802163489,2.05190945417,1.96369504556,1.48137868382,1.331317937,1.16909341887,2003-12-14T08:25:25Z,0.0,2014-07-07T17:06:05Z,200,2,215,31.0,5.0,8.0,18.0,74.0,6.0,12.0,56.0,0,401018,0.0
Van Hiele model,5.42141623489,2006-06-27T15:20:27Z,0,18590,113438,3,27,30,2895,1.77494413219,1.67119631078,1.56618957408,0.660065968987,0.49504940398,0.330033071805,2006-06-27T15:20:27Z,0.0,2014-07-25T05:13:21Z,16,3,26,27.0,11.0,1.0,15.0,71.0,14.0,1.0,56.0,0,5731861,0.0
Voronoi diagram,5.73642007243,2003-02-01T23:54:38Z,0,26043,1521037,112,181,293,3866,4.1764494963,4.21837205067,4.25791414455,3.18455928937,3.02457623184,2.82459706068,2003-02-01T23:54:38Z,0.0,2014-08-07T20:21:55Z,366,10,321,277.0,19.0,105.0,153.0,539.0,27.0,148.0,364.0,0,177668,3.0
Wallace–Bolyai–Gerwien theorem,5.61917098446,2003-05-09T23:44:33Z,0,2555,13727,8,37,45,386,2.68635037355,2.63337348588,2.57807713933,1.0260657873,0.87086041458,0.713325454853,2003-05-09T23:44:33Z,0.0,2013-11-13T15:32:19Z,11,3,16,44.0,12.0,7.0,25.0,57.0,15.0,7.0,35.0,0,224248,1.0
Wallpaper group,5.82386194585,2003-12-03T16:05:31Z,0,45870,533882,62,111,173,6722,3.57394921593,3.57708288357,3.57785774395,3.86840198189,3.85316531174,3.81305674091,2003-12-03T16:05:31Z,0.0,2014-08-29T12:41:34Z,317,5,310,167.0,16.0,60.0,91.0,660.0,25.0,95.0,540.0,0,386214,3.0
Wang tile,6.06174591909,2002-07-29T18:54:20Z,0,9950,124031,28,58,86,1409,2.44694552384,2.38116667606,2.31345836073,2.82722339034,2.69274855964,2.5270706974,2002-07-29T18:54:20Z,0.0,2014-08-04T19:22:35Z,211,4,209,81.0,7.0,28.0,46.0,102.0,7.0,32.0,63.0,0,65798,2.0
Zonohedron,6.18065547562,2004-05-21T09:02:52Z,0,8983,77434,7,41,48,1251,2.05967458896,1.96756399237,1.8732114695,1.14461081102,0.967543339357,0.781150534749,2004-05-21T09:02:52Z,0.0,2014-08-01T08:22:58Z,81,3,77,48.0,8.0,7.0,33.0,125.0,9.0,9.0,107.0,0,669402,4.0
